cksum kappa rho numDaysToRecover beta deathRate pir AFP_Detection reintroRate minBurnIn obsPeriod seasonalAmp numSims movModel moveRate ES_Detection vacRate vilPop
60b5331c 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0.05 0 0.05 {2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000}
9f19608e 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0.05 0 0.05 {32000,8000,8000,8000,8000}
17249d9f 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0.05 0 0.05 {32000,4000,4000,4000,4000,4000,4000,4000,4000}
cbc3fad4 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0.05 0 0.2 {64000}
4ae268d9 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0.05 0 0.2 {32000,32000}
136f23b8 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0.05 0 0.2 {16000,16000,16000,16000}
f9ec7c7c 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0.05 0 0.2 {8000,8000,8000,8000,8000,8000,8000,8000}
5fe75075 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0.05 0 0.2 {4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000}
feb42fab 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0.05 0 0.2 {2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000}
69a5a409 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0.05 0 0.2 {32000,8000,8000,8000,8000}
1b9b8b8a 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0.05 0 0.2 {32000,4000,4000,4000,4000,4000,4000,4000,4000}
afa2971d 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0.05 0 0.5 {64000}
d1e367c3 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0.05 0 0.5 {32000,32000}
c1ba653e 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0.05 0 0.5 {16000,16000,16000,16000}
f7e6badc 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0.05 0 0.5 {8000,8000,8000,8000,8000,8000,8000,8000}
4c987e8f 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0.05 0 0.5 {4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000}
